layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
encoder.layer.0.attention.self.query,PASS,89.99998884409983,7.166326993629513e-14,0,8,8,"[89.99999237060547, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
encoder.layer.0.attention.self.key,FAIL,2.145483440715361,3.388638973236084,3,8,8,"[2.1454834938049316, 2.479624032974243, 2.91329288482666, 61.557926177978516, 68.52580261230469, 81.2437973022461, 84.54619598388672, 87.82649230957031]"
encoder.layer.0.attention.self.value,FAIL,2.363391448117921,2.566632032394409,2,8,8,"[2.363391399383545, 2.4323651790618896, 61.94879150390625, 68.78898620605469, 70.1990966796875, 72.60778045654297, 84.0182113647461, 86.79540252685547]"
encoder.layer.0.attention.self.dense,FAIL,2.4184039261273194,1.6548508405685425,1,8,8,"[2.4184038639068604, 57.07275390625, 66.68650817871094, 70.07013702392578, 75.36395263671875, 82.30220031738281, 85.7320556640625, 88.17628479003906]"
encoder.layer.1.attention.self.query,FAIL,2.304691948617185,1.810402512550354,1,8,8,"[2.304692029953003, 57.9425163269043, 62.553462982177734, 71.09121704101562, 71.61798858642578, 73.56986999511719, 80.19686126708984, 86.19631958007812]"
encoder.layer.1.attention.self.key,FAIL,2.2465503901942747,3.378293037414551,3,8,8,"[2.2465503215789795, 3.0496010780334473, 3.2187492847442627, 64.84864807128906, 71.2789077758789, 76.28099822998047, 79.87371826171875, 82.96405029296875]"
encoder.layer.1.attention.self.value,PASS,89.99998201391065,1.3026408565101205e-13,0,8,8,"[89.99998474121094, 89.99999237060547, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
encoder.layer.1.attention.self.dense,FAIL,2.3383312706097326,2.416013240814209,2,8,8,"[2.3383312225341797, 2.628082036972046, 62.10298538208008, 73.36028289794922, 74.02474212646484, 78.63764190673828, 86.25418090820312, 89.6491928100586]"
encoder.layer.2.attention.self.query,PASS,89.99998884409983,9.982855200037916e-14,0,8,8,"[89.99999237060547, 89.99999237060547, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
encoder.layer.2.attention.self.key,PASS,89.99998884409983,5.198014531282956e-14,0,8,8,"[89.99999237060547, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0, 90.0]"
