layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.0.attention.output.dense,FAIL,0.0,3.0265090465545654,3,8,8,"[0.0, 0.0, 0.0, 81.76909637451172, 85.88739776611328, 88.73404693603516, 89.10594177246094, 89.32917785644531]"
base_model.model.bert.encoder.layer.0.attention.self.key,FAIL,0.0,3.054779529571533,3,8,8,"[0.0, 0.0, 0.0, 80.56342315673828, 82.36273193359375, 84.5694808959961, 88.14250946044922, 89.13748168945312]"
base_model.model.bert.encoder.layer.0.attention.self.query,FAIL,0.0,3.0388951301574707,3,8,8,"[0.0, 0.0, 0.03956468030810356, 81.43575286865234, 84.1456298828125, 85.75397491455078, 88.4913558959961, 89.32618713378906]"
base_model.model.bert.encoder.layer.0.attention.self.value,FAIL,0.0,3.0413169860839844,3,8,8,"[0.0, 0.0, 0.03956468030810356, 80.99628448486328, 85.01441192626953, 85.66983795166016, 87.00251007080078, 88.34207153320312]"
base_model.model.bert.encoder.layer.0.intermediate.dense,FAIL,0.01978234059262607,3.0049610137939453,3,8,8,"[0.01978234015405178, 0.02797645516693592, 0.03426402062177658, 86.73787689208984, 88.154296875, 88.58846282958984, 89.49166870117188, 89.96148681640625]"
base_model.model.bert.encoder.layer.0.output.dense,FAIL,0.0,3.0398366451263428,3,8,8,"[0.0, 0.0, 0.0, 80.96315002441406, 84.13495635986328, 86.88300323486328, 87.8422622680664, 88.92918395996094]"
base_model.model.bert.encoder.layer.1.attention.output.dense,FAIL,0.0,3.0329911708831787,3,8,8,"[0.0, 0.03956468030810356, 0.05595291033387184, 82.12763214111328, 85.40565490722656, 85.9413070678711, 87.37235260009766, 88.47945404052734]"
base_model.model.bert.encoder.layer.1.attention.self.key,FAIL,0.0,3.0274035930633545,3,8,8,"[0.0, 0.0, 0.0, 82.30488586425781, 85.6795425415039, 87.3136978149414, 87.73270416259766, 89.6568603515625]"
base_model.model.bert.encoder.layer.1.attention.self.query,FAIL,0.0,3.02323317527771,3,8,8,"[0.0, 0.02797645516693592, 0.03426402062177658, 82.2121353149414, 86.79649353027344, 88.1181411743164, 88.75576782226562, 89.19343566894531]"
base_model.model.bert.encoder.layer.1.attention.self.value,FAIL,0.0,3.0321850776672363,3,8,8,"[0.0, 0.0, 0.03426402062177658, 82.7288589477539, 83.7147216796875, 86.6684799194336, 88.57221984863281, 89.22663879394531]"
base_model.model.bert.encoder.layer.1.intermediate.dense,FAIL,0.0,3.011507034301758,3,8,8,"[0.0, 0.0, 0.0, 85.972900390625, 86.52111053466797, 87.54550170898438, 88.1781005859375, 89.60245513916016]"
base_model.model.bert.encoder.layer.1.output.dense,FAIL,0.0,3.045058488845825,3,8,8,"[0.0, 0.048456642776727676, 0.05233915522694588, 82.11003875732422, 83.6772232055664, 84.97056579589844, 86.3827133178711, 87.17949676513672]"
base_model.model.bert.encoder.layer.10.attention.output.dense,FAIL,0.0,3.039588689804077,3,8,8,"[0.0, 0.0, 0.02797645516693592, 82.37541198730469, 84.06324768066406, 84.5899887084961, 87.4804458618164, 88.76571655273438]"
base_model.model.bert.encoder.layer.10.attention.self.key,FAIL,0.0,3.022925615310669,3,8,8,"[0.0, 0.02797645516693592, 0.03426402062177658, 82.57028198242188, 86.42121124267578, 87.69850158691406, 88.66090393066406, 89.30006408691406]"
