layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.0.attention.output.dense,FAIL,0.0,3.0383994579315186,3,8,8,"[0.0, 0.0, 0.0, 82.09745025634766, 83.97114562988281, 84.9696273803711, 88.4325942993164, 89.69917297363281]"
base_model.model.bert.encoder.layer.0.attention.self.key,FAIL,0.0,3.0223731994628906,3,8,8,"[0.0, 0.01978234015405178, 0.03426402062177658, 83.2697525024414, 85.69767761230469, 87.13072967529297, 88.72659301757812, 89.80854797363281]"
base_model.model.bert.encoder.layer.0.attention.self.query,FAIL,0.0,3.018188714981079,3,8,8,"[0.0, 0.0, 0.0, 84.6297607421875, 85.49346160888672, 87.17970275878906, 88.73323059082031, 88.9358139038086]"
base_model.model.bert.encoder.layer.0.attention.self.value,FAIL,0.0,3.028043270111084,3,8,8,"[0.0, 0.01978234015405178, 0.02797645516693592, 82.46336364746094, 85.31033325195312, 86.83219909667969, 88.14713287353516, 89.56881713867188]"
base_model.model.bert.encoder.layer.0.intermediate.dense,FAIL,0.0,3.008617639541626,3,8,8,"[0.0, 0.0, 0.03426402062177658, 85.69422149658203, 87.88233947753906, 87.92494201660156, 89.0030517578125, 89.91754150390625]"
base_model.model.bert.encoder.layer.0.output.dense,FAIL,0.0,3.0322511196136475,3,8,8,"[0.0, 0.0, 0.0, 82.42156219482422, 84.48448181152344, 86.87290954589844, 87.3401107788086, 88.73175048828125]"
base_model.model.bert.encoder.layer.1.attention.output.dense,FAIL,0.0,3.034528970718384,3,8,8,"[0.0, 0.0, 0.02797645516693592, 81.810546875, 84.72115325927734, 86.0147933959961, 88.23971557617188, 89.99056243896484]"
base_model.model.bert.encoder.layer.1.attention.self.key,FAIL,0.0,3.0259931087493896,3,8,8,"[0.0, 0.0, 0.02797645516693592, 82.46745300292969, 85.85603332519531, 86.81367492675781, 88.76959228515625, 89.65349578857422]"
base_model.model.bert.encoder.layer.1.attention.self.query,FAIL,0.0,3.0466887950897217,3,8,8,"[0.0, 0.0, 0.01978234015405178, 81.2695541381836, 83.13762664794922, 85.8898696899414, 86.54513549804688, 88.5909423828125]"
base_model.model.bert.encoder.layer.1.attention.self.value,FAIL,0.0,3.0438694953918457,3,8,8,"[0.0, 0.0, 0.0, 80.79695129394531, 83.61552429199219, 86.56574249267578, 87.62165832519531, 88.57947540283203]"
base_model.model.bert.encoder.layer.1.intermediate.dense,FAIL,0.0,3.0104193687438965,3,8,8,"[0.0, 0.0, 0.01978234015405178, 86.25364685058594, 86.67982482910156, 87.72692108154297, 88.2565689086914, 89.01174926757812]"
base_model.model.bert.encoder.layer.1.output.dense,FAIL,0.0,3.0400137901306152,3,8,8,"[0.0, 0.01978234015405178, 0.02797645516693592, 81.69190979003906, 83.64034271240234, 85.78052520751953, 87.84231567382812, 89.66761016845703]"
base_model.model.bert.encoder.layer.10.attention.output.dense,FAIL,0.0,3.0271403789520264,3,8,8,"[0.0, 0.02797645516693592, 0.03956468030810356, 83.81553649902344, 84.43431091308594, 85.91915130615234, 88.130859375, 89.97711944580078]"
base_model.model.bert.encoder.layer.10.attention.self.key,FAIL,0.0,3.031497001647949,3,8,8,"[0.0, 0.0, 0.03426402062177658, 82.931640625, 84.8465347290039, 85.83219146728516, 87.16503143310547, 88.64631652832031]"
base_model.model.bert.encoder.layer.10.attention.self.query,FAIL,0.0,3.030348300933838,3,8,8,"[0.0, 0.0, 0.0, 83.17829132080078, 83.66948699951172, 87.14483642578125, 87.7580795288086, 89.52417755126953]"
base_model.model.bert.encoder.layer.10.attention.self.value,FAIL,0.0,3.038733720779419,3,8,8,"[0.0, 0.03426402062177658, 0.03426402062177658, 81.57368469238281, 83.95263671875, 86.04389953613281, 88.30979919433594, 88.678466796875]"
base_model.model.bert.encoder.layer.10.intermediate.dense,FAIL,0.01978234059262607,3.0094525814056396,3,8,8,"[0.01978234015405178, 0.02797645516693592, 0.03426402062177658, 86.11180877685547, 86.68173217773438, 88.07453918457031, 88.92018127441406, 89.74107360839844]"
base_model.model.bert.encoder.layer.10.output.dense,FAIL,0.0,3.031416893005371,3,8,8,"[0.0, 0.0, 0.0, 83.67601013183594, 84.07978820800781, 85.6028060913086, 87.5900650024414, 88.18994140625]"
base_model.model.bert.encoder.layer.11.attention.output.dense,FAIL,0.0,3.032228469848633,3,8,8,"[0.0, 0.0, 0.01978234015405178, 83.23785400390625, 83.67378997802734, 85.65135192871094, 88.93863677978516, 89.34810638427734]"
base_model.model.bert.encoder.layer.11.attention.self.key,FAIL,0.0,3.0319371223449707,3,8,8,"[0.0, 0.01978234015405178, 0.02797645516693592, 82.62830352783203, 84.19658660888672, 86.16302490234375, 88.49821472167969, 89.47058868408203]"
base_model.model.bert.encoder.layer.11.attention.self.query,FAIL,0.0,3.037393093109131,3,8,8,"[0.0, 0.0, 0.03426402062177658, 80.95897674560547, 85.6114273071289, 86.06632232666016, 87.53001403808594, 89.04126739501953]"
base_model.model.bert.encoder.layer.11.attention.self.value,FAIL,0.0,3.034499406814575,3,8,8,"[0.0, 0.0, 0.048456642776727676, 80.7823257446289, 85.85135650634766, 86.64513397216797, 89.22850036621094, 89.9742431640625]"
base_model.model.bert.encoder.layer.11.intermediate.dense,FAIL,0.0,3.005617141723633,3,8,8,"[0.0, 0.0, 0.0, 87.13561248779297, 87.41993713378906, 88.20449829101562, 89.45376586914062, 89.74298858642578]"
base_model.model.bert.encoder.layer.11.output.dense,FAIL,0.0,3.0260567665100098,3,8,8,"[0.0, 0.044234659522771835, 0.048456642776727676, 83.7750473022461, 84.7880859375, 85.81562042236328, 88.47484588623047, 89.77242279052734]"
base_model.model.bert.encoder.layer.2.attention.output.dense,FAIL,0.0,3.0245296955108643,3,8,8,"[0.0, 0.0, 0.02797645516693592, 83.36991119384766, 85.7086181640625, 86.00811004638672, 88.73011779785156, 89.07247161865234]"
base_model.model.bert.encoder.layer.2.attention.self.key,FAIL,0.0,3.018681287765503,3,8,8,"[0.0, 0.0, 0.0, 83.61311340332031, 85.93377685546875, 88.25634002685547, 88.92649841308594, 89.950439453125]"
base_model.model.bert.encoder.layer.2.attention.self.query,FAIL,0.0,3.03393292427063,3,8,8,"[0.0, 0.01978234015405178, 0.03426402062177658, 81.16667175292969, 85.89715576171875, 86.47821807861328, 87.96337127685547, 89.19817352294922]"
base_model.model.bert.encoder.layer.2.attention.self.value,FAIL,0.0,3.0481202602386475,3,8,8,"[0.0, 0.0, 0.03426402062177658, 80.9056167602539, 83.55036163330078, 85.72964477539062, 85.95797729492188, 89.86947631835938]"
base_model.model.bert.encoder.layer.2.intermediate.dense,FAIL,0.0,3.007763385772705,3,8,8,"[0.0, 0.0, 0.03956468030810356, 86.21144104003906, 87.57705688476562, 88.06127166748047, 88.88353729248047, 89.46842193603516]"
base_model.model.bert.encoder.layer.2.output.dense,FAIL,0.0,3.0339367389678955,3,8,8,"[0.0, 0.02797645516693592, 0.02797645516693592, 82.6351547241211, 84.35554504394531, 85.63066101074219, 87.47769165039062, 89.45748138427734]"
base_model.model.bert.encoder.layer.3.attention.output.dense,FAIL,0.0,3.034050703048706,3,8,8,"[0.0, 0.0, 0.01978234015405178, 83.0511703491211, 83.84331512451172, 85.18342590332031, 88.32616424560547, 89.84049987792969]"
base_model.model.bert.encoder.layer.3.attention.self.key,FAIL,0.0,3.033726453781128,3,8,8,"[0.0, 0.0, 0.01978234015405178, 82.6797103881836, 83.5575180053711, 86.85427856445312, 87.68168640136719, 89.08700561523438]"
base_model.model.bert.encoder.layer.3.attention.self.query,FAIL,0.0,3.024789810180664,3,8,8,"[0.0, 0.01978234015405178, 0.02797645516693592, 82.80606842041016, 85.97262573242188, 86.65123748779297, 88.585693359375, 89.28795623779297]"
base_model.model.bert.encoder.layer.3.attention.self.value,FAIL,0.0,3.04864501953125,3,8,8,"[0.0, 0.0, 0.01978234015405178, 80.6366195678711, 82.42864990234375, 86.74281311035156, 87.93464660644531, 89.02989196777344]"
