layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.0.attention.output.dense,PASS,76.07925735329178,0.12013110518455505,0,8,8,"[76.07926177978516, 81.25611877441406, 82.77003479003906, 83.7176742553711, 85.4794921875, 86.36672973632812, 88.2894287109375, 89.16718292236328]"
base_model.model.bert.encoder.layer.0.attention.self.key,PASS,73.23255745063553,0.15876172482967377,0,8,8,"[73.23255920410156, 80.00531005859375, 81.6200942993164, 83.24655151367188, 85.83049774169922, 87.02832794189453, 87.62566375732422, 88.53217315673828]"
base_model.model.bert.encoder.layer.0.attention.self.query,PASS,73.7378480152439,0.18659238517284393,0,8,8,"[73.73784637451172, 77.58674621582031, 80.74848175048828, 82.12254333496094, 84.50707244873047, 85.76720428466797, 87.41661834716797, 88.49173736572266]"
base_model.model.bert.encoder.layer.0.attention.self.value,PASS,73.107312271825,0.13541187345981598,0,8,8,"[73.10731506347656, 80.84986877441406, 83.4634780883789, 85.14769744873047, 86.75372314453125, 87.27198791503906, 89.42462921142578, 89.9609603881836]"
base_model.model.bert.encoder.layer.0.intermediate.dense,PASS,85.00840463638447,0.022894958034157753,0,8,8,"[85.00840759277344, 85.4006576538086, 86.2439193725586, 86.89080047607422, 88.07429504394531, 88.83235168457031, 89.5243148803711, 89.60501098632812]"
base_model.model.bert.encoder.layer.0.output.dense,PASS,78.88661536632875,0.11332450807094574,0,8,8,"[78.8866195678711, 80.17169952392578, 81.7219467163086, 82.97622680664062, 85.21784210205078, 86.80524444580078, 88.33566284179688, 88.78099822998047]"
base_model.model.bert.encoder.layer.1.attention.output.dense,PASS,78.32678574119784,0.09672848135232925,0,8,8,"[78.32678985595703, 81.5788345336914, 82.47103881835938, 83.78221893310547, 86.57097625732422, 87.92805480957031, 88.6836166381836, 89.67100524902344]"
base_model.model.bert.encoder.layer.1.attention.self.key,PASS,76.86345186246845,0.1230117678642273,0,8,8,"[76.86344909667969, 79.99982452392578, 81.97384643554688, 83.2392349243164, 85.75556182861328, 87.64373779296875, 88.51537322998047, 89.81195831298828]"
base_model.model.bert.encoder.layer.1.attention.self.query,PASS,77.9058070317041,0.11740968376398087,0,8,8,"[77.90580749511719, 80.82624816894531, 82.25560760498047, 83.19682312011719, 84.89774322509766, 85.03829956054688, 88.81394958496094, 89.4737777709961]"
base_model.model.bert.encoder.layer.1.attention.self.value,PASS,74.58669709510391,0.1303650438785553,0,8,8,"[74.58670043945312, 80.91921997070312, 81.629150390625, 85.3927230834961, 86.43042755126953, 87.2356185913086, 88.24348449707031, 89.69049835205078]"
base_model.model.bert.encoder.layer.1.intermediate.dense,PASS,84.3890225918802,0.025692779570817947,0,8,8,"[84.38902282714844, 85.44538879394531, 85.64582824707031, 87.29186248779297, 88.2881088256836, 88.35801696777344, 89.43915557861328, 89.7344970703125]"
base_model.model.bert.encoder.layer.1.output.dense,PASS,79.60233722907606,0.08918562531471252,0,8,8,"[79.60234069824219, 81.299072265625, 81.95572662353516, 84.60806274414062, 86.71839904785156, 87.75823211669922, 88.71984100341797, 89.82333374023438]"
base_model.model.bert.encoder.layer.10.attention.output.dense,PASS,78.76030467800771,0.12392468750476837,0,8,8,"[78.76030731201172, 79.70147705078125, 80.43605041503906, 82.8033447265625, 85.21083068847656, 86.93196868896484, 88.4506607055664, 89.40772247314453]"
base_model.model.bert.encoder.layer.10.attention.self.key,PASS,77.3946903157337,0.12399113923311234,0,8,8,"[77.39469146728516, 80.01821899414062, 81.05908203125, 84.54667663574219, 85.18060302734375, 86.18726348876953, 87.72506713867188, 89.49217224121094]"
base_model.model.bert.encoder.layer.10.attention.self.query,PASS,74.11190332513965,0.18685415387153625,0,8,8,"[74.11190795898438, 75.89633178710938, 81.64525604248047, 82.48912811279297, 85.00325012207031, 86.07198333740234, 87.40748596191406, 89.84150695800781]"
base_model.model.bert.encoder.layer.10.attention.self.value,PASS,77.1928172446248,0.1465887427330017,0,8,8,"[77.19281768798828, 79.1061019897461, 79.78568267822266, 82.11013793945312, 85.10511016845703, 86.85173797607422, 88.06072235107422, 89.92076110839844]"
base_model.model.bert.encoder.layer.10.intermediate.dense,PASS,84.42172553762623,0.025317486375570297,0,8,8,"[84.4217300415039, 85.23854064941406, 86.02918243408203, 87.37187957763672, 88.14505767822266, 88.58914947509766, 88.91444396972656, 89.529052734375]"
base_model.model.bert.encoder.layer.10.output.dense,PASS,75.65426932275524,0.1350874900817871,0,8,8,"[75.6542739868164, 79.43633270263672, 82.58070373535156, 84.50626373291016, 84.65023040771484, 86.68679809570312, 87.41229248046875, 89.2405014038086]"
base_model.model.bert.encoder.layer.11.attention.output.dense,PASS,70.47792166780187,0.2411077618598938,0,8,8,"[70.47792053222656, 74.76870727539062, 79.48246002197266, 83.62117004394531, 84.93627166748047, 85.94290924072266, 87.47103118896484, 89.80126190185547]"
base_model.model.bert.encoder.layer.11.attention.self.key,PASS,75.36361745281452,0.16783864796161652,0,8,8,"[75.36361694335938, 78.32597351074219, 80.06046295166016, 81.51817321777344, 85.27909851074219, 86.33267211914062, 88.57611846923828, 89.77513885498047]"
base_model.model.bert.encoder.layer.11.attention.self.query,PASS,73.39588776425803,0.20233476161956787,0,8,8,"[73.39588928222656, 76.18029022216797, 78.4127426147461, 83.35871887207031, 85.72596740722656, 86.36051177978516, 89.0968246459961, 89.52984619140625]"
base_model.model.bert.encoder.layer.11.attention.self.value,PASS,68.31102366304782,0.24524901807308197,0,8,8,"[68.31102752685547, 78.33190155029297, 78.6559829711914, 82.20015716552734, 85.89144897460938, 86.62052917480469, 87.56194305419922, 89.11170196533203]"
base_model.model.bert.encoder.layer.11.intermediate.dense,PASS,78.05280636302112,0.07386224716901779,0,8,8,"[78.05281066894531, 83.98453521728516, 84.34778594970703, 85.4508056640625, 86.9370346069336, 88.30364990234375, 89.06734466552734, 89.64164733886719]"
base_model.model.bert.encoder.layer.11.output.dense,PASS,68.7440644866158,0.21933475136756897,0,8,8,"[68.74406433105469, 78.96153259277344, 79.99116516113281, 83.21356964111328, 86.55287170410156, 87.2112045288086, 88.13262176513672, 89.69367218017578]"
base_model.model.bert.encoder.layer.2.attention.output.dense,PASS,79.82242641470138,0.09252636134624481,0,8,8,"[79.82242584228516, 82.42008209228516, 82.93511199951172, 83.41903686523438, 84.8512191772461, 85.35623931884766, 88.62605285644531, 88.77330780029297]"
base_model.model.bert.encoder.layer.2.attention.self.key,PASS,79.39049208177894,0.09701183438301086,0,8,8,"[79.39049530029297, 82.1121826171875, 82.65238189697266, 83.73260498046875, 84.20065307617188, 86.89738464355469, 87.16519165039062, 88.82337951660156]"
base_model.model.bert.encoder.layer.2.attention.self.query,PASS,76.30732419986768,0.14467832446098328,0,8,8,"[76.30732727050781, 78.35355377197266, 80.97722625732422, 83.10413360595703, 86.06809997558594, 86.57913208007812, 88.57640838623047, 89.90788269042969]"
base_model.model.bert.encoder.layer.2.attention.self.value,PASS,75.44322330759103,0.12985913455486298,0,8,8,"[75.44322204589844, 79.99109649658203, 82.61727142333984, 84.53184509277344, 85.26329803466797, 86.95323181152344, 88.43614959716797, 88.71869659423828]"
base_model.model.bert.encoder.layer.2.intermediate.dense,PASS,84.63782589277626,0.024180943146348,0,8,8,"[84.63782501220703, 85.9385986328125, 86.2247543334961, 86.9595947265625, 87.34306335449219, 88.44725799560547, 89.1125259399414, 89.275146484375]"
base_model.model.bert.encoder.layer.2.output.dense,PASS,79.57229805710634,0.08421437442302704,0,8,8,"[79.57229614257812, 81.33262634277344, 83.24525451660156, 85.30794525146484, 86.08824157714844, 87.2997817993164, 87.92700958251953, 89.64738464355469]"
base_model.model.bert.encoder.layer.3.attention.output.dense,PASS,78.91921585923723,0.10989236831665039,0,8,8,"[78.91921997070312, 80.24772644042969, 81.6019515991211, 83.09716796875, 85.62676239013672, 87.4130859375, 88.58269500732422, 89.72425842285156]"
base_model.model.bert.encoder.layer.3.attention.self.key,PASS,77.4112262037143,0.11801087856292725,0,8,8,"[77.41122436523438, 81.02471923828125, 81.43824768066406, 83.54344177246094, 85.64766693115234, 86.33515167236328, 87.8203353881836, 89.52464294433594]"
base_model.model.bert.encoder.layer.3.attention.self.query,PASS,79.39323098763612,0.08119943737983704,0,8,8,"[79.39323425292969, 81.48133087158203, 83.36038208007812, 85.14208984375, 86.8646011352539, 87.96223449707031, 88.65780639648438, 89.68370056152344]"
base_model.model.bert.encoder.layer.3.attention.self.value,PASS,78.82286238061586,0.10323627293109894,0,8,8,"[78.82286071777344, 80.54674530029297, 82.23094177246094, 84.08666229248047, 85.11476135253906, 87.49434661865234, 88.58594512939453, 89.71221160888672]"
base_model.model.bert.encoder.layer.3.intermediate.dense,PASS,84.30370669895757,0.02757268399000168,0,8,8,"[84.3037109375, 85.60023498535156, 85.9833755493164, 86.75579071044922, 87.5394287109375, 87.73532104492188, 89.00416564941406, 89.74324035644531]"
base_model.model.bert.encoder.layer.3.output.dense,PASS,79.84252083123955,0.0787399560213089,0,8,8,"[79.84252166748047, 82.33663940429688, 83.26773071289062, 84.79777526855469, 86.20006561279297, 87.63204193115234, 88.00760650634766, 88.6150894165039]"
base_model.model.bert.encoder.layer.4.attention.output.dense,PASS,79.26926988438956,0.06987744569778442,0,8,8,"[79.26927185058594, 82.6113052368164, 85.28331756591797, 85.5554428100586, 86.0606460571289, 88.39540100097656, 88.92202758789062, 89.60861206054688]"
base_model.model.bert.encoder.layer.4.attention.self.key,PASS,78.25305384910754,0.11340537667274475,0,8,8,"[78.2530517578125, 80.47987365722656, 81.23446655273438, 84.5000228881836, 85.17850494384766, 86.433349609375, 88.02355194091797, 89.52833557128906]"
base_model.model.bert.encoder.layer.4.attention.self.query,PASS,76.99836858914371,0.14668820798397064,0,8,8,"[76.99836730957031, 78.35818481445312, 79.58321380615234, 84.44076538085938, 84.8416748046875, 86.54520416259766, 87.85881805419922, 89.26262664794922]"
base_model.model.bert.encoder.layer.4.attention.self.value,PASS,78.24211871624635,0.12687644362449646,0,8,8,"[78.24211883544922, 80.0133285522461, 81.08299255371094, 82.17670440673828, 84.91423797607422, 86.17625427246094, 88.88973236083984, 89.6281509399414]"
base_model.model.bert.encoder.layer.4.intermediate.dense,PASS,84.03046498121121,0.024875540286302567,0,8,8,"[84.03046417236328, 85.50513458251953, 86.62893676757812, 87.62332916259766, 87.67485809326172, 88.40645599365234, 89.18034362792969, 89.38157653808594]"
base_model.model.bert.encoder.layer.4.output.dense,PASS,77.51000439949102,0.1276870220899582,0,8,8,"[77.51000213623047, 78.8841552734375, 81.4358901977539, 83.57865905761719, 85.23981475830078, 87.6583480834961, 88.91580200195312, 89.30425262451172]"
base_model.model.bert.encoder.layer.5.attention.output.dense,PASS,78.38384514152412,0.08385275304317474,0,8,8,"[78.38384246826172, 82.97920989990234, 83.7516860961914, 84.53451538085938, 86.34343719482422, 87.65473175048828, 87.8770751953125, 88.94709014892578]"
base_model.model.bert.encoder.layer.5.attention.self.key,PASS,80.37202441645562,0.08102880418300629,0,8,8,"[80.37202453613281, 82.10498046875, 82.64026641845703, 83.90496063232422, 86.87812805175781, 87.45055389404297, 88.2943115234375, 88.51082611083984]"
base_model.model.bert.encoder.layer.5.attention.self.query,PASS,78.18801678783069,0.1271066963672638,0,8,8,"[78.18801879882812, 79.3904037475586, 81.7396240234375, 83.42255401611328, 84.21078491210938, 85.86798858642578, 87.6669692993164, 88.69384765625]"
base_model.model.bert.encoder.layer.5.attention.self.value,PASS,77.5923491601247,0.12896248698234558,0,8,8,"[77.59235382080078, 79.74978637695312, 81.48439025878906, 82.80854034423828, 84.61610412597656, 86.21707916259766, 89.0269775390625, 89.4681396484375]"
base_model.model.bert.encoder.layer.5.intermediate.dense,PASS,84.70068412370789,0.022824706509709358,0,8,8,"[84.70068359375, 85.36483764648438, 86.45940399169922, 86.9963607788086, 88.310791015625, 89.06140899658203, 89.52957916259766, 89.9893569946289]"
base_model.model.bert.encoder.layer.5.output.dense,PASS,78.03776628646874,0.10753011703491211,0,8,8,"[78.03776550292969, 80.88317108154297, 82.36611938476562, 83.55110168457031, 85.11629486083984, 87.72622680664062, 88.8830795288086, 89.9493637084961]"
base_model.model.bert.encoder.layer.6.attention.output.dense,PASS,76.96313164321562,0.124697744846344,0,8,8,"[76.963134765625, 81.4715347290039, 81.73759460449219, 83.24421691894531, 83.56874084472656, 86.6256332397461, 88.08973693847656, 89.17630004882812]"
base_model.model.bert.encoder.layer.6.attention.self.key,PASS,77.8347867247143,0.11409653723239899,0,8,8,"[77.83478546142578, 80.66645812988281, 81.5348892211914, 83.1153335571289, 85.98111724853516, 87.83407592773438, 88.4295425415039, 89.08399200439453]"
base_model.model.bert.encoder.layer.6.attention.self.query,PASS,76.51744130930477,0.11847133189439774,0,8,8,"[76.51744079589844, 80.58433532714844, 82.74893951416016, 83.1224365234375, 85.95237731933594, 87.68611145019531, 88.92755126953125, 89.38285827636719]"
base_model.model.bert.encoder.layer.6.attention.self.value,PASS,77.61098874636967,0.13000378012657166,0,8,8,"[77.61099243164062, 79.28131866455078, 81.50542449951172, 82.98677825927734, 85.06853485107422, 86.65011596679688, 87.5353012084961, 89.97227478027344]"
base_model.model.bert.encoder.layer.6.intermediate.dense,PASS,84.59141475736602,0.02090459316968918,0,8,8,"[84.59141540527344, 86.06419372558594, 86.80858612060547, 87.50830841064453, 87.82029724121094, 88.37303924560547, 89.57160949707031, 89.81122589111328]"
base_model.model.bert.encoder.layer.6.output.dense,PASS,79.3613476645905,0.09114992618560791,0,8,8,"[79.3613510131836, 82.40766906738281, 82.95125579833984, 83.68946075439453, 84.29621887207031, 87.50626373291016, 88.4891128540039, 89.87846374511719]"
base_model.model.bert.encoder.layer.7.attention.output.dense,PASS,77.43662084704842,0.14835502207279205,0,8,8,"[77.4366226196289, 78.28678894042969, 80.01600646972656, 82.2134017944336, 85.03736877441406, 86.71656799316406, 88.69686889648438, 89.3442611694336]"
base_model.model.bert.encoder.layer.7.attention.self.key,PASS,79.93948219669706,0.0811648964881897,0,8,8,"[79.93948364257812, 80.84600067138672, 83.35319519042969, 85.24188232421875, 86.94528198242188, 87.6307373046875, 88.71671295166016, 89.80960083007812]"
base_model.model.bert.encoder.layer.7.attention.self.query,PASS,77.0482084795173,0.15347792208194733,0,8,8,"[77.04821014404297, 79.45626068115234, 80.55762481689453, 82.8759765625, 83.1901626586914, 84.83602905273438, 86.63997650146484, 87.52262878417969]"
base_model.model.bert.encoder.layer.7.attention.self.value,PASS,79.61553315455252,0.09653549641370773,0,8,8,"[79.61553192138672, 80.6335678100586, 82.00578308105469, 84.5273666381836, 85.78783416748047, 86.98738098144531, 88.23690795898438, 89.76207733154297]"
base_model.model.bert.encoder.layer.7.intermediate.dense,PASS,84.27795688578662,0.027439691126346588,0,8,8,"[84.2779541015625, 85.50631713867188, 86.2191390991211, 86.50399017333984, 87.3871841430664, 88.29979705810547, 88.96975708007812, 89.80011749267578]"
base_model.model.bert.encoder.layer.7.output.dense,PASS,76.62757810967123,0.13007353246212006,0,8,8,"[76.62757873535156, 80.61551666259766, 81.45157623291016, 83.36409759521484, 84.31556701660156, 86.34764862060547, 88.54637908935547, 89.66943359375]"
base_model.model.bert.encoder.layer.8.attention.output.dense,PASS,74.60196939808806,0.130490243434906,0,8,8,"[74.60196685791016, 78.8992919921875, 84.42100524902344, 85.4785385131836, 85.6856460571289, 88.15609741210938, 88.82490539550781, 89.32867431640625]"
base_model.model.bert.encoder.layer.8.attention.self.key,PASS,76.13584547056533,0.12882518768310547,0,8,8,"[76.13584899902344, 79.41004943847656, 81.96331024169922, 84.56844329833984, 85.56767272949219, 87.57286071777344, 88.24507141113281, 88.82190704345703]"
base_model.model.bert.encoder.layer.8.attention.self.query,PASS,76.57432312471265,0.1469539850950241,0,8,8,"[76.57432556152344, 78.12545776367188, 81.72648620605469, 83.23973083496094, 84.0692367553711, 86.64203643798828, 87.75994110107422, 88.71255493164062]"
base_model.model.bert.encoder.layer.8.attention.self.value,PASS,78.81796513498097,0.09242323040962219,0,8,8,"[78.81796264648438, 81.91631317138672, 83.16448211669922, 84.19175720214844, 85.27671813964844, 86.9089584350586, 88.2702407836914, 89.65808868408203]"
base_model.model.bert.encoder.layer.8.intermediate.dense,PASS,84.6905686135471,0.023783568292856216,0,8,8,"[84.69056701660156, 85.39942932128906, 86.23733520507812, 87.45240783691406, 87.9726791381836, 88.39686584472656, 88.7930679321289, 89.69975280761719]"
base_model.model.bert.encoder.layer.8.output.dense,PASS,79.24269361832903,0.09661651402711868,0,8,8,"[79.24269104003906, 80.77423095703125, 81.74333953857422, 84.11474609375, 86.79302215576172, 87.90437316894531, 88.9877700805664, 89.2784194946289]"
base_model.model.bert.encoder.layer.9.attention.output.dense,PASS,78.86857683673075,0.12018521130084991,0,8,8,"[78.86857604980469, 79.62184143066406, 81.13028717041016, 83.361328125, 84.68370056152344, 86.55191802978516, 88.09314727783203, 89.79585266113281]"
base_model.model.bert.encoder.layer.9.attention.self.key,PASS,74.18452872658439,0.15559066832065582,0,8,8,"[74.18453216552734, 77.94733428955078, 82.20590209960938, 84.26692962646484, 85.24042510986328, 87.83208465576172, 88.5757064819336, 88.84366607666016]"
base_model.model.bert.encoder.layer.9.attention.self.query,PASS,78.10937398972716,0.12299633771181107,0,8,8,"[78.109375, 79.49856567382812, 81.62857818603516, 83.18494415283203, 85.01737976074219, 86.6849594116211, 88.05332946777344, 89.88059997558594]"
base_model.model.bert.encoder.layer.9.attention.self.value,PASS,79.06945270022084,0.10534663498401642,0,8,8,"[79.06945037841797, 79.79151153564453, 83.7900161743164, 84.3656997680664, 84.9605712890625, 85.8924331665039, 86.87066650390625, 88.36573791503906]"
base_model.model.bert.encoder.layer.9.intermediate.dense,PASS,83.8836227442451,0.02900102362036705,0,8,8,"[83.88362121582031, 84.5816879272461, 86.46693420410156, 86.8629150390625, 87.88349151611328, 88.85897827148438, 89.329345703125, 89.62775421142578]"
base_model.model.bert.encoder.layer.9.output.dense,PASS,79.17814833067241,0.09665779769420624,0,8,8,"[79.17814636230469, 81.44540405273438, 82.02978515625, 83.0051498413086, 86.7955322265625, 87.98035430908203, 88.4329833984375, 89.4065170288086]"
base_model.model.bert.pooler.dense,PASS,65.84419839146017,0.30127814412117004,0,8,8,"[65.84420013427734, 75.8543701171875, 76.91461181640625, 83.86412811279297, 85.12993621826172, 87.15229034423828, 87.83173370361328, 89.00357818603516]"
