layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.0.attention.output.dense,PASS,76.07926418348094,0.12013103067874908,0,8,8,"[76.07926177978516, 81.2561264038086, 82.7700424194336, 83.7176742553711, 85.4794921875, 86.36672973632812, 88.2894287109375, 89.16717529296875]"
base_model.model.bert.encoder.layer.0.attention.self.key,PASS,73.23255062044636,0.15876172482967377,0,8,8,"[73.23255157470703, 80.00531005859375, 81.62010192871094, 83.24654388427734, 85.83049774169922, 87.02832794189453, 87.62566375732422, 88.53217315673828]"
base_model.model.bert.encoder.layer.0.attention.self.query,PASS,73.7378480152439,0.18659229576587677,0,8,8,"[73.73784637451172, 77.58674621582031, 80.74848175048828, 82.1225357055664, 84.50706481933594, 85.76720428466797, 87.4166259765625, 88.49174499511719]"
base_model.model.bert.encoder.layer.0.attention.self.value,PASS,73.10731910201417,0.13541185855865479,0,8,8,"[73.1073226928711, 80.84986877441406, 83.46347045898438, 85.14769744873047, 86.75372314453125, 87.27198791503906, 89.42462921142578, 89.9609603881836]"
base_model.model.bert.encoder.layer.0.intermediate.dense,PASS,85.00840463638447,0.022894956171512604,0,8,8,"[85.00840759277344, 85.4006576538086, 86.2439193725586, 86.89080047607422, 88.07429504394531, 88.83235168457031, 89.5243148803711, 89.60501098632812]"
base_model.model.bert.encoder.layer.0.output.dense,PASS,78.88661536632875,0.11332441866397858,0,8,8,"[78.8866195678711, 80.17169952392578, 81.72195434570312, 82.97622680664062, 85.21784973144531, 86.80524444580078, 88.3356704711914, 88.78099822998047]"
base_model.model.bert.encoder.layer.1.attention.output.dense,PASS,78.32678574119784,0.09672843664884567,0,8,8,"[78.32678985595703, 81.5788345336914, 82.4710464477539, 83.78221893310547, 86.57098388671875, 87.92806243896484, 88.6836166381836, 89.67100524902344]"
base_model.model.bert.encoder.layer.1.attention.self.key,PASS,76.86345186246845,0.12301173806190491,0,8,8,"[76.86344909667969, 79.99982452392578, 81.9738540649414, 83.2392349243164, 85.75556182861328, 87.64373779296875, 88.51537322998047, 89.81195831298828]"
base_model.model.bert.encoder.layer.1.attention.self.query,PASS,77.90581386189326,0.11740969866514206,0,8,8,"[77.90581512451172, 80.82624053955078, 82.25559997558594, 83.19682312011719, 84.89774322509766, 85.03829956054688, 88.8139419555664, 89.4737777709961]"
base_model.model.bert.encoder.layer.1.attention.self.value,PASS,74.58669709510391,0.1303650587797165,0,8,8,"[74.58670043945312, 80.91921997070312, 81.629150390625, 85.3927230834961, 86.43042755126953, 87.2356185913086, 88.24348449707031, 89.69049835205078]"
