layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.0.attention.output.dense,FAIL,63.40245357450479,0.44999536871910095,2,8,8,"[63.4024543762207, 68.08594512939453, 76.3155517578125, 78.93030548095703, 84.02152252197266, 86.48822784423828, 86.99346923828125, 89.52767181396484]"
base_model.model.bert.encoder.layer.0.attention.self.key,FAIL,58.447526992064894,0.7027301788330078,3,8,8,"[58.44752883911133, 62.087806701660156, 69.60234069824219, 76.86832427978516, 81.04979705810547, 83.99420166015625, 87.92330932617188, 89.15120697021484]"
base_model.model.bert.encoder.layer.0.attention.self.query,FAIL,54.62630252882039,0.6883366107940674,3,8,8,"[54.626304626464844, 65.72147369384766, 72.39398193359375, 78.10887145996094, 80.19178009033203, 82.52164459228516, 86.41474914550781, 88.96683502197266]"
base_model.model.bert.encoder.layer.0.attention.self.value,FAIL,57.52032198204649,0.8001511693000793,4,8,8,"[57.520320892333984, 64.75767517089844, 67.63304138183594, 72.64361572265625, 76.78334045410156, 79.60437774658203, 84.17084503173828, 88.21027374267578]"
base_model.model.bert.encoder.layer.0.intermediate.dense,FAIL,60.35504173289854,0.43776369094848633,2,8,8,"[60.35504150390625, 72.21299743652344, 78.30856323242188, 80.68342590332031, 82.1025390625, 84.69049072265625, 86.27391815185547, 88.32283020019531]"
base_model.model.bert.encoder.layer.0.output.dense,FAIL,52.58009738179504,1.0752615928649902,4,8,8,"[52.58009719848633, 57.073455810546875, 62.112239837646484, 69.49372100830078, 79.14614868164062, 81.59361267089844, 83.65653228759766, 89.73275756835938]"
base_model.model.bert.encoder.layer.1.attention.output.dense,FAIL,64.40161462742928,0.41481950879096985,2,8,8,"[64.40161895751953, 72.15091705322266, 75.61116790771484, 79.23445892333984, 80.64232635498047, 85.18277740478516, 86.36451721191406, 89.63701629638672]"
base_model.model.bert.encoder.layer.1.attention.self.key,FAIL,61.47235139808591,0.5022386908531189,3,8,8,"[61.47235107421875, 69.02041625976562, 74.78898620605469, 77.57154846191406, 82.516357421875, 84.66899108886719, 86.35464477539062, 88.04325103759766]"
base_model.model.bert.encoder.layer.1.attention.self.query,FAIL,65.00363433106337,0.46899163722991943,3,8,8,"[65.00363159179688, 70.24099731445312, 74.01709747314453, 76.40602111816406, 80.56817626953125, 83.66808319091797, 85.56258392333984, 89.486328125]"
base_model.model.bert.encoder.layer.1.attention.self.value,FAIL,54.23837168962576,0.7524806261062622,3,8,8,"[54.238372802734375, 63.64484405517578, 72.54163360595703, 75.95016479492188, 79.10567474365234, 80.65254974365234, 87.52033996582031, 88.2359848022461]"
base_model.model.bert.encoder.layer.1.intermediate.dense,FAIL,61.85292953863902,0.3353579640388489,1,8,8,"[61.85293197631836, 76.84981536865234, 79.6761703491211, 82.92019653320312, 84.75142669677734, 86.3766098022461, 88.07190704345703, 89.07106018066406]"
base_model.model.bert.encoder.layer.1.output.dense,FAIL,60.39677418872732,0.6740432381629944,4,8,8,"[60.39677429199219, 67.6155776977539, 69.57793426513672, 71.78270721435547, 78.85791778564453, 82.007080078125, 85.43128204345703, 87.14305114746094]"
base_model.model.bert.encoder.layer.10.attention.output.dense,FAIL,53.21159618188691,1.1766687631607056,4,8,8,"[53.21159744262695, 58.840152740478516, 60.45618438720703, 66.88630676269531, 75.9887466430664, 76.90093231201172, 78.31218719482422, 87.40834045410156]"
base_model.model.bert.encoder.layer.10.attention.self.key,FAIL,51.409536146743676,1.3916294574737549,5,8,8,"[51.40953826904297, 56.34737014770508, 59.14411163330078, 63.94827651977539, 66.6404800415039, 75.11769104003906, 82.94383239746094, 87.94745635986328]"
base_model.model.bert.encoder.layer.10.attention.self.query,FAIL,49.445713326392436,1.4662024974822998,5,8,8,"[49.44571304321289, 52.93024826049805, 61.38803482055664, 61.87487030029297, 66.73228454589844, 75.99651336669922, 83.48324584960938, 88.0903091430664]"
base_model.model.bert.encoder.layer.10.attention.self.value,FAIL,55.08798233557823,0.9901604652404785,5,8,8,"[55.087982177734375, 60.06753921508789, 65.39130401611328, 70.08920288085938, 74.90147399902344, 77.7807846069336, 84.19688415527344, 87.8716812133789]"
base_model.model.bert.encoder.layer.10.intermediate.dense,FAIL,69.15439493119348,0.27695098519325256,2,8,8,"[69.1543960571289, 74.31723022460938, 79.28677368164062, 80.40255737304688, 83.65654754638672, 87.65958404541016, 88.38211822509766, 89.13656616210938]"
base_model.model.bert.encoder.layer.10.output.dense,FAIL,48.15878615845156,1.5011334419250488,5,8,8,"[48.15878677368164, 49.4355354309082, 57.413814544677734, 65.3752212524414, 69.50336456298828, 79.40626525878906, 83.66146850585938, 88.19502258300781]"
base_model.model.bert.encoder.layer.11.attention.output.dense,FAIL,56.658587750317245,0.7973465323448181,4,8,8,"[56.65858840942383, 62.87872314453125, 67.83152770996094, 72.71258544921875, 79.90876770019531, 82.22834014892578, 84.96048736572266, 89.61236572265625]"
base_model.model.bert.encoder.layer.11.attention.self.key,FAIL,50.82949940695327,0.9894325733184814,5,8,8,"[50.829498291015625, 58.61039352416992, 69.7057876586914, 72.72113800048828, 73.87860870361328, 81.60067749023438, 83.71025848388672, 89.14393615722656]"
base_model.model.bert.encoder.layer.11.attention.self.query,FAIL,48.14074079866439,1.1288602352142334,4,8,8,"[48.140743255615234, 60.56229019165039, 63.42646789550781, 67.34445190429688, 75.91755676269531, 80.26327514648438, 85.85005950927734, 88.73857116699219]"
base_model.model.bert.encoder.layer.11.attention.self.value,FAIL,59.407680834639436,0.8043460249900818,4,8,8,"[59.40768051147461, 62.48440170288086, 66.9027328491211, 71.39513397216797, 76.62688446044922, 83.28009033203125, 84.55355834960938, 89.69881439208984]"
base_model.model.bert.encoder.layer.11.intermediate.dense,FAIL,70.40444249271087,0.25147736072540283,1,8,8,"[70.4044418334961, 76.4727554321289, 79.05413818359375, 80.68023681640625, 83.65228271484375, 84.61042022705078, 88.27050018310547, 89.60441589355469]"
base_model.model.bert.encoder.layer.11.output.dense,FAIL,42.37352030880238,0.9618536233901978,3,8,8,"[42.37351989746094, 62.666343688964844, 70.39181518554688, 76.33739471435547, 82.20852661132812, 84.04077911376953, 85.03587341308594, 89.2242202758789]"
base_model.model.bert.encoder.layer.2.attention.output.dense,FAIL,57.8481710622071,0.6508119106292725,3,8,8,"[57.84817123413086, 68.18882751464844, 72.7091293334961, 75.58250427246094, 77.08650970458984, 81.22869110107422, 86.552001953125, 87.18305206298828]"
