layer_name,status,theta_min_deg,overlap,n_shared,rank1,rank2,thetas_deg
base_model.model.bert.encoder.layer.0.attention.output.dense,FAIL,65.6441831318055,0.3688628673553467,3,8,8,"[65.64418029785156, 74.00027465820312, 74.86540222167969, 81.38714599609375, 82.26797485351562, 84.01461791992188, 86.75484466552734, 89.63152313232422]"
base_model.model.bert.encoder.layer.0.attention.self.key,FAIL,55.93593324556239,0.48687267303466797,1,8,8,"[55.93593215942383, 75.34336853027344, 76.21337890625, 79.94322967529297, 83.90863037109375, 85.62075805664062, 86.05575561523438, 89.81061553955078]"
base_model.model.bert.encoder.layer.0.attention.self.query,FAIL,70.41724226721549,0.29675671458244324,2,8,8,"[70.41724395751953, 72.30307006835938, 77.45162200927734, 80.422119140625, 83.10082244873047, 87.21582794189453, 88.95467376708984, 89.89093017578125]"
base_model.model.bert.encoder.layer.0.attention.self.value,FAIL,62.35375315953021,0.41028329730033875,3,8,8,"[62.35375213623047, 73.00655364990234, 74.97506713867188, 81.81155395507812, 82.67536163330078, 86.06327819824219, 88.31665802001953, 89.11613464355469]"
base_model.model.bert.encoder.layer.0.intermediate.dense,PASS,77.80788260957362,0.06174438074231148,0,8,8,"[77.8078842163086, 84.85718536376953, 86.39080047607422, 87.18014526367188, 87.91070556640625, 88.5804443359375, 88.78202056884766, 88.9587173461914]"
base_model.model.bert.encoder.layer.0.output.dense,FAIL,61.4605556613893,0.48765498399734497,2,8,8,"[61.46055603027344, 70.45460510253906, 75.11932373046875, 76.02883911132812, 82.94493865966797, 84.98808288574219, 88.71212005615234, 89.83883666992188]"
base_model.model.bert.encoder.layer.1.attention.output.dense,FAIL,59.42812359082529,0.45282822847366333,2,8,8,"[59.428123474121094, 70.17069244384766, 79.7844009399414, 80.65691375732422, 83.1380386352539, 86.20276641845703, 87.72733306884766, 88.16792297363281]"
base_model.model.bert.encoder.layer.1.attention.self.key,FAIL,74.05172935855184,0.2023044228553772,1,8,8,"[74.05172729492188, 77.00884246826172, 78.99126434326172, 81.95952606201172, 83.33229064941406, 86.24629211425781, 87.7034912109375, 88.31185913085938]"
base_model.model.bert.encoder.layer.1.attention.self.query,FAIL,64.39998904240682,0.46063748002052307,2,8,8,"[64.39998626708984, 72.78202056884766, 75.37296295166016, 76.96220397949219, 78.2297592163086, 81.33158111572266, 85.1893539428711, 89.01203155517578]"
base_model.model.bert.encoder.layer.1.attention.self.value,FAIL,59.79011678664679,0.422510027885437,2,8,8,"[59.79011917114258, 74.95068359375, 77.1685562133789, 81.05157470703125, 82.22338104248047, 84.98363494873047, 87.22139739990234, 89.44960021972656]"
base_model.model.bert.encoder.layer.1.intermediate.dense,PASS,80.03033737303656,0.05293300375342369,0,8,8,"[80.03034210205078, 84.69487762451172, 85.62313842773438, 86.68408203125, 87.11074829101562, 87.6794662475586, 88.15816497802734, 89.6946792602539]"
base_model.model.bert.encoder.layer.1.output.dense,FAIL,54.60820594261444,0.5354772806167603,2,8,8,"[54.60820770263672, 72.64533996582031, 77.987060546875, 79.05387878417969, 82.58301544189453, 83.8407974243164, 87.15975189208984, 88.13011932373047]"
base_model.model.bert.encoder.layer.10.attention.output.dense,FAIL,44.81458893702992,1.3231805562973022,4,8,8,"[44.81459045410156, 52.29498291015625, 58.6759033203125, 70.72904968261719, 78.06398010253906, 82.83000183105469, 85.04549407958984, 88.29424285888672]"
base_model.model.bert.encoder.layer.10.attention.self.key,FAIL,42.96732329486495,1.407309889793396,5,8,8,"[42.967323303222656, 54.27290725708008, 61.26580047607422, 65.19420623779297, 73.91693115234375, 79.28001403808594, 83.84818267822266, 88.25233459472656]"
base_model.model.bert.encoder.layer.10.attention.self.query,FAIL,44.63549454680301,1.321036458015442,4,8,8,"[44.635494232177734, 51.442874908447266, 63.18946075439453, 68.53705596923828, 77.46282958984375, 80.1449966430664, 83.91317749023438, 88.01593780517578]"
base_model.model.bert.encoder.layer.10.attention.self.value,FAIL,51.9658584697358,0.8660529851913452,4,8,8,"[51.965858459472656, 62.367576599121094, 70.4248275756836, 72.80219268798828, 77.40512084960938, 82.19227600097656, 85.71930694580078, 89.4965591430664]"
base_model.model.bert.encoder.layer.10.intermediate.dense,FAIL,64.0794755854148,0.39956480264663696,3,8,8,"[64.07947540283203, 73.13584899902344, 73.97630310058594, 79.92444610595703, 83.77925109863281, 86.1533432006836, 87.97486114501953, 89.66361236572266]"
base_model.model.bert.encoder.layer.10.output.dense,FAIL,51.11346110660196,0.9009482264518738,3,8,8,"[51.113460540771484, 59.94981384277344, 66.9267578125, 77.75748443603516, 79.82674407958984, 82.9683837890625, 85.1169204711914, 86.33048248291016]"
base_model.model.bert.encoder.layer.11.attention.output.dense,FAIL,44.84987710937679,1.0738193988800049,4,8,8,"[44.849876403808594, 59.905601501464844, 66.07758331298828, 72.1662368774414, 77.71416473388672, 82.83670043945312, 88.46253204345703, 89.97850799560547]"
base_model.model.bert.encoder.layer.11.attention.self.key,FAIL,39.948926096852915,1.512259602546692,4,8,8,"[39.94892501831055, 46.94000244140625, 64.43578338623047, 67.4802017211914, 75.79061889648438, 78.38412475585938, 80.97349548339844, 89.49256896972656]"
base_model.model.bert.encoder.layer.11.attention.self.query,FAIL,44.56018488101445,1.0195139646530151,4,8,8,"[44.560184478759766, 59.0385856628418, 71.68994140625, 74.83745574951172, 76.8979263305664, 81.40086364746094, 85.44388580322266, 89.85691833496094]"
base_model.model.bert.encoder.layer.11.attention.self.value,FAIL,56.905120013314274,0.511073648929596,2,8,8,"[56.905120849609375, 72.23681640625, 75.53416442871094, 80.03810119628906, 82.43272399902344, 85.54605865478516, 86.360595703125, 89.3675765991211]"
base_model.model.bert.encoder.layer.11.intermediate.dense,FAIL,70.8078607858485,0.15085843205451965,1,8,8,"[70.807861328125, 81.90059661865234, 84.23778533935547, 85.2730712890625, 86.63191986083984, 87.55469512939453, 88.39852905273438, 89.77037811279297]"
base_model.model.bert.encoder.layer.11.output.dense,FAIL,49.3731767174069,0.8948129415512085,4,8,8,"[49.37317657470703, 58.279300689697266, 73.27081298828125, 74.60261535644531, 80.76530456542969, 84.6303482055664, 85.90593719482422, 87.8265151977539]"
base_model.model.bert.encoder.layer.2.attention.output.dense,FAIL,54.813296032822414,0.8439224362373352,3,8,8,"[54.813297271728516, 61.153465270996094, 66.7055892944336, 77.19482421875, 77.88619995117188, 81.05487060546875, 85.83795928955078, 89.41777801513672]"
