layer_name,status,theta_min_deg,overlap,n_shared
base_model.model.bert.encoder.layer.0.attention.output.dense,FAIL,0.0,3.0265090465545654,3
base_model.model.bert.encoder.layer.0.attention.self.key,FAIL,0.0,3.054779529571533,3
base_model.model.bert.encoder.layer.0.attention.self.query,FAIL,0.0,3.0388951301574707,3
base_model.model.bert.encoder.layer.0.attention.self.value,FAIL,0.0,3.0413169860839844,3
base_model.model.bert.encoder.layer.0.intermediate.dense,FAIL,0.01978234059262607,3.0049610137939453,3
base_model.model.bert.encoder.layer.0.output.dense,FAIL,0.0,3.0398366451263428,3
base_model.model.bert.encoder.layer.1.attention.output.dense,FAIL,0.0,3.0329911708831787,3
base_model.model.bert.encoder.layer.1.attention.self.key,FAIL,0.0,3.0274035930633545,3
base_model.model.bert.encoder.layer.1.attention.self.query,FAIL,0.0,3.02323317527771,3
base_model.model.bert.encoder.layer.1.attention.self.value,FAIL,0.0,3.0321850776672363,3
base_model.model.bert.encoder.layer.1.intermediate.dense,FAIL,0.0,3.011507034301758,3
base_model.model.bert.encoder.layer.1.output.dense,FAIL,0.0,3.045058488845825,3
base_model.model.bert.encoder.layer.10.attention.output.dense,FAIL,0.0,3.039588689804077,3
base_model.model.bert.encoder.layer.10.attention.self.key,FAIL,0.0,3.022925615310669,3
base_model.model.bert.encoder.layer.10.attention.self.query,FAIL,0.0,3.0511112213134766,3
base_model.model.bert.encoder.layer.10.attention.self.value,FAIL,0.0,3.0321762561798096,3
base_model.model.bert.encoder.layer.10.intermediate.dense,FAIL,0.0,3.0087454319000244,3
base_model.model.bert.encoder.layer.10.output.dense,FAIL,0.0,3.0391464233398438,3
base_model.model.bert.encoder.layer.11.attention.output.dense,FAIL,0.0,3.022791862487793,3
base_model.model.bert.encoder.layer.11.attention.self.key,FAIL,0.0,3.0440876483917236,3
base_model.model.bert.encoder.layer.11.attention.self.query,FAIL,0.0,3.0317065715789795,3
base_model.model.bert.encoder.layer.11.attention.self.value,FAIL,0.0,3.035348653793335,3
base_model.model.bert.encoder.layer.11.intermediate.dense,FAIL,0.0,3.006415605545044,3
base_model.model.bert.encoder.layer.11.output.dense,FAIL,0.0,3.0464553833007812,3
base_model.model.bert.encoder.layer.2.attention.output.dense,FAIL,0.0,3.0470829010009766,3
base_model.model.bert.encoder.layer.2.attention.self.key,FAIL,0.0,3.0384960174560547,3
base_model.model.bert.encoder.layer.2.attention.self.query,FAIL,0.0,3.025424003601074,3
base_model.model.bert.encoder.layer.2.attention.self.value,FAIL,0.0,3.0225062370300293,3
base_model.model.bert.encoder.layer.2.intermediate.dense,FAIL,0.0,3.008136510848999,3
base_model.model.bert.encoder.layer.2.output.dense,FAIL,0.0,3.0354831218719482,3
base_model.model.bert.encoder.layer.3.attention.output.dense,FAIL,0.0,3.0236141681671143,3
base_model.model.bert.encoder.layer.3.attention.self.key,FAIL,0.0,3.0299315452575684,3
base_model.model.bert.encoder.layer.3.attention.self.query,FAIL,0.0,3.0226638317108154,3
base_model.model.bert.encoder.layer.3.attention.self.value,FAIL,0.0,3.050161361694336,3
base_model.model.bert.encoder.layer.3.intermediate.dense,FAIL,0.0,3.005509853363037,3
base_model.model.bert.encoder.layer.3.output.dense,FAIL,0.0,3.025543451309204,3
base_model.model.bert.encoder.layer.4.attention.output.dense,FAIL,0.0,3.0177080631256104,3
base_model.model.bert.encoder.layer.4.attention.self.key,FAIL,0.0,3.0282864570617676,3
base_model.model.bert.encoder.layer.4.attention.self.query,FAIL,0.0,3.0277814865112305,3
base_model.model.bert.encoder.layer.4.attention.self.value,FAIL,0.0,3.0546114444732666,3
base_model.model.bert.encoder.layer.4.intermediate.dense,FAIL,0.0,3.010472536087036,3
base_model.model.bert.encoder.layer.4.output.dense,FAIL,0.0,3.030917167663574,3
base_model.model.bert.encoder.layer.5.attention.output.dense,FAIL,0.0,3.0243914127349854,3
