layer_name,status,theta_min_deg,overlap,n_shared
base_model.model.bert.encoder.layer.0.attention.output.dense,PASS,76.07925735329178,0.12013110518455505,0
base_model.model.bert.encoder.layer.0.attention.self.key,FAIL,73.23255745063553,0.15876172482967377,1
base_model.model.bert.encoder.layer.0.attention.self.query,FAIL,73.7378480152439,0.18659238517284393,1
base_model.model.bert.encoder.layer.0.attention.self.value,FAIL,73.107312271825,0.13541187345981598,1
base_model.model.bert.encoder.layer.0.intermediate.dense,PASS,85.00840463638447,0.022894958034157753,0
base_model.model.bert.encoder.layer.0.output.dense,PASS,78.88661536632875,0.11332450807094574,0
base_model.model.bert.encoder.layer.1.attention.output.dense,PASS,78.32678574119784,0.09672848135232925,0
base_model.model.bert.encoder.layer.1.attention.self.key,PASS,76.86345186246845,0.1230117678642273,0
base_model.model.bert.encoder.layer.1.attention.self.query,PASS,77.9058070317041,0.11740968376398087,0
base_model.model.bert.encoder.layer.1.attention.self.value,FAIL,74.58669709510391,0.1303650438785553,1
base_model.model.bert.encoder.layer.1.intermediate.dense,PASS,84.3890225918802,0.025692779570817947,0
base_model.model.bert.encoder.layer.1.output.dense,PASS,79.60233722907606,0.08918562531471252,0
base_model.model.bert.encoder.layer.10.attention.output.dense,PASS,78.76030467800771,0.12392468750476837,0
base_model.model.bert.encoder.layer.10.attention.self.key,PASS,77.3946903157337,0.12399113923311234,0
base_model.model.bert.encoder.layer.10.attention.self.query,FAIL,74.11190332513965,0.18685415387153625,1
base_model.model.bert.encoder.layer.10.attention.self.value,PASS,77.1928172446248,0.1465887427330017,0
base_model.model.bert.encoder.layer.10.intermediate.dense,PASS,84.42172553762623,0.025317486375570297,0
base_model.model.bert.encoder.layer.10.output.dense,PASS,75.65426932275524,0.1350874900817871,0
base_model.model.bert.encoder.layer.11.attention.output.dense,FAIL,70.47792166780187,0.2411077618598938,2
base_model.model.bert.encoder.layer.11.attention.self.key,PASS,75.36361745281452,0.16783864796161652,0
